City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint-Philippe,RE,-21.3585,55.7679,80.15,80,93,4.07,light rain
80,Muzhi,RU,65.3667,64.6667,-7.04,92,16,4.68,few clouds
81,Port Hardy,CA,50.6996,-127.4199,48.2,93,90,17.27,moderate rain
82,Vilyuysk,RU,63.7553,121.6247,0.39,91,100,9.73,overcast clouds
83,La Ronge,CA,55.1001,-105.2842,12.45,85,75,2.3,broken clouds
84,Pevek,RU,69.7008,170.3133,-12.55,83,12,2.8,few clouds
85,Dikson,RU,73.5069,80.5464,-13.92,97,100,9.44,overcast clouds
86,Sorong,ID,-0.8833,131.25,84.9,71,61,9.62,broken clouds
87,Bonthe,SL,7.5264,-12.505,79.99,79,40,4.88,scattered clouds
88,Beloha,MG,-25.1667,45.05,65.17,55,0,14.0,clear sky
89,Minas,UY,-34.3759,-55.2377,66.67,95,100,8.57,overcast clouds
90,Santa Rosa,PH,14.3122,121.1114,78.78,87,100,6.78,moderate rain
91,Aykhal,RU,66.0,111.5,-16.33,99,96,8.93,overcast clouds
92,Diffa,NE,13.3154,12.6113,70.18,31,43,9.46,scattered clouds
93,Esmeraldas,BR,-19.7625,-44.3139,67.06,98,67,3.98,broken clouds
94,Adrar,MR,20.5022,-10.0711,61.23,36,66,15.05,broken clouds
95,Karatau,KZ,43.1667,70.4667,29.7,49,6,0.47,clear sky
96,Banjar,ID,-8.19,114.9675,78.66,72,100,4.36,overcast clouds
97,Westport,US,41.1415,-73.3579,33.76,61,51,9.22,broken clouds
98,Danshui,CN,22.7984,114.4672,74.86,42,100,8.01,overcast clouds
99,Nouadhibou,MR,20.931,-17.0347,66.0,64,0,23.89,clear sky
100,Lewiston,US,44.1003,-70.2148,24.66,64,2,7.05,clear sky
101,Saskylakh,RU,71.9167,114.0833,-7.26,95,98,9.08,overcast clouds
102,Luderitz,NA,-26.6481,15.1594,59.2,84,12,6.53,few clouds
103,Cabrobo,BR,-8.5142,-39.31,79.56,59,72,12.48,broken clouds
104,Kirakira,SB,-10.4544,161.9205,84.22,71,69,6.02,broken clouds
105,Bubaque,GW,11.2833,-15.8333,82.58,69,93,10.16,overcast clouds
106,Viedma,AR,-40.8135,-62.9967,60.8,86,100,4.9,overcast clouds
107,Kedrovyy,RU,56.1667,91.8167,19.81,93,100,13.98,light snow
108,Katherine,AU,-14.4667,132.2667,98.92,23,40,11.5,scattered clouds
